,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,G/GP,A1/GP,A2/GP,P1/GP,P/GP
0,Rob Schremp,C,LDN,19.209,57,57,54,34,111,145,1.0,0.95,0.6,1.95,2.54
1,David Bolland,RW,LDN,19.28,59,57,41,32,98,130,0.97,0.69,0.54,1.66,2.2
2,Wojtek Wolski,LW,BRA,19.557,56,47,59,22,106,128,0.84,1.05,0.39,1.89,2.29
3,Dylan Hunter,LW,LDN,20.321,62,32,44,41,76,117,0.52,0.71,0.66,1.23,1.89
4,Evan McGrath,C,KIT,19.669,67,37,47,30,84,114,0.55,0.7,0.45,1.25,1.7
5,Bryan Little,C,BAR,17.843,64,42,42,25,84,109,0.66,0.66,0.39,1.31,1.7
6,Justin Donati,C,TOR,18.913,62,46,37,26,83,109,0.74,0.6,0.42,1.34,1.76
7,Cal O'Reilly,C,WSR,18.96,68,18,54,27,72,99,0.26,0.79,0.4,1.06,1.46
8,Peter Tsimikalis,C,OSH,19.68,64,29,50,20,79,99,0.45,0.78,0.31,1.23,1.55
9,Bobby Ryan,RW,OS,18.5,59,31,37,27,68,95,0.53,0.63,0.46,1.15,1.61
10,Cory Emmerton,LW,KGN,17.29,66,26,30,34,56,90,0.39,0.45,0.52,0.85,1.36
11,Ryan McDonough,C,SAG,17.703,68,39,30,19,69,88,0.57,0.44,0.28,1.01,1.29
12,Chris Stewart,RW,KGN,17.879,62,37,32,18,69,87,0.6,0.52,0.29,1.11,1.4
13,Michal Birner,RW,SAG,19.54,60,31,32,22,63,85,0.52,0.53,0.37,1.05,1.42
14,Ryan Callahan,RW,GUE,20.488,62,52,21,11,73,84,0.84,0.34,0.18,1.18,1.35
15,Michael Blunden,RW,ER,18.752,60,46,23,15,69,84,0.77,0.38,0.25,1.15,1.4
16,Radek Smolenak,RW,KGN,18.785,65,42,24,18,66,84,0.65,0.37,0.28,1.02,1.29
17,Bryan Bickell,LW,OTT/WSR,19.521,67,45,21,17,66,83,0.67,0.31,0.25,0.99,1.24
18,Chris Hulit,RW,OTT,20.666,67,32,36,15,68,83,0.48,0.54,0.22,1.01,1.24
19,Daniel Ryder,C,PBO,18.675,65,38,27,17,65,82,0.58,0.42,0.26,1.0,1.26
20,John Hughes,RW,BELV,17.692,66,28,40,14,68,82,0.42,0.61,0.21,1.03,1.24
21,Matt D'Agostini,RW,GUE,18.897,66,25,29,25,54,79,0.38,0.44,0.38,0.82,1.2
22,Jeff Kyrzakos,RW,OS,20.605,64,33,27,19,60,79,0.52,0.42,0.3,0.94,1.23
23,Sergei Kostitsyn,RW,LDN,18.492,63,26,25,27,51,78,0.41,0.4,0.43,0.81,1.24
24,Mike Angelidis,LW,OS,20.219,68,53,15,10,68,78,0.78,0.22,0.15,1.0,1.15
25,Cory Vitarelli,LW,TOR,20.211,65,42,19,17,61,78,0.65,0.29,0.26,0.94,1.2
26,Julian Talbot,C,OTT,20.48,65,30,26,21,56,77,0.46,0.4,0.32,0.86,1.18
27,John Vigilante,LW,PLY,20.313,55,24,35,18,59,77,0.44,0.64,0.33,1.07,1.4
28,Patrick McNeill,D,SAG,18.5,68,21,25,31,46,77,0.31,0.37,0.46,0.68,1.13
29,Ryan O'Marra,RW,ER,18.27,61,27,33,17,60,77,0.44,0.54,0.28,0.98,1.26
30,John Tavares,C,OSH,14.987,65,45,19,13,64,77,0.69,0.29,0.2,0.98,1.18
31,Hunter Tremblay,LW,BAR,19.666,68,31,33,13,64,77,0.46,0.49,0.19,0.94,1.13
32,Tyler Haskins,C,TOR,19.308,56,24,26,25,50,75,0.43,0.46,0.45,0.89,1.34
33,Bobby Hughes,C,KGN,17.846,56,35,26,14,61,75,0.62,0.46,0.25,1.09,1.34
34,Adam Perry,LW,LDN,18.675,68,27,31,15,58,73,0.4,0.46,0.22,0.85,1.07
35,Michael Vernace,D,BRA,19.308,68,10,37,25,47,72,0.15,0.54,0.37,0.69,1.06
36,Tyler Donati,RW,TOR,18.913,68,36,25,11,61,72,0.53,0.37,0.16,0.9,1.06
37,Ryan Hamilton,LW,BAR,20.419,63,46,19,7,65,72,0.73,0.3,0.11,1.03,1.14
38,Luch Aquino,RW,BRA,20.636,32,28,18,26,46,72,0.88,0.56,0.81,1.44,2.25
39,Nick Foligno,C,SBY,17.876,65,24,32,14,56,70,0.37,0.49,0.22,0.86,1.08
40,Howie Martin,LW,BRA,18.826,68,24,31,15,55,70,0.35,0.46,0.22,0.81,1.03
41,Tyler Kennedy,C,SSM,19.171,64,22,29,19,51,70,0.34,0.45,0.3,0.8,1.09
42,Kelsey Wilson,LW,GUE,19.647,67,38,15,16,53,69,0.57,0.22,0.24,0.79,1.03
43,Justin Azevedo,C,KIT,17.457,60,29,24,16,53,69,0.48,0.4,0.27,0.88,1.15
44,Jamie Tardif,RW,PBO,20.644,62,40,18,11,58,69,0.65,0.29,0.18,0.94,1.11
45,Cal Clutterbuck,RW,OSH,17.827,66,35,20,13,55,68,0.53,0.3,0.2,0.83,1.03
46,Aaron Snow,LW,BRA,17.323,68,30,23,15,53,68,0.44,0.34,0.22,0.78,1.0
47,Jordan Morrison,C,PBO,19.278,67,31,21,16,52,68,0.46,0.31,0.24,0.78,1.01
48,Patrick Davis,LW,KIT/WSR,18.716,60,35,16,17,51,68,0.58,0.27,0.28,0.85,1.13
49,Jordan Staal,C,PBO,17.013,68,28,22,18,50,68,0.41,0.32,0.26,0.74,1.0
50,Andrew Marshall,D,BAR,19.108,68,23,15,28,38,66,0.34,0.22,0.41,0.56,0.97
51,Benoit Pouliot,LW,SBY,18.963,51,35,19,11,54,65,0.69,0.37,0.22,1.06,1.27
52,Bobby Sanguinetti,D,OS,17.545,68,14,24,27,38,65,0.21,0.35,0.4,0.56,0.96
53,Chad Painchaud,LW,SAR,19.305,49,31,16,18,47,65,0.63,0.33,0.37,0.96,1.33
54,Liam Reddox,LW,PBO,19.634,68,19,25,20,44,64,0.28,0.37,0.29,0.65,0.94
55,Logan Couture,C,OTT,16.469,65,25,23,16,48,64,0.38,0.35,0.25,0.74,0.98
56,Kevin Baker,C,SBY,18.473,68,34,21,8,55,63,0.5,0.31,0.12,0.81,0.93
57,Adam Berti,LW,ER/OSH,19.209,62,33,16,14,49,63,0.53,0.26,0.23,0.79,1.02
58,Luke Lynes,LW,BRA,17.799,65,34,14,14,48,62,0.52,0.22,0.22,0.74,0.95
59,Ryan Wilson,D,TOR,18.615,64,12,26,23,38,61,0.19,0.41,0.36,0.59,0.95
60,Evan Brophey,C,PLY/BELV,18.785,62,19,26,16,45,61,0.31,0.42,0.26,0.73,0.98
61,James Neal,LW,PLY,18.035,66,21,17,20,38,58,0.32,0.26,0.3,0.58,0.88
62,Jakub Kindl,D,KIT,18.596,60,12,23,23,35,58,0.2,0.38,0.38,0.58,0.97
63,David Lomas,RW,KIT/WSR,20.488,65,29,15,14,44,58,0.45,0.23,0.22,0.68,0.89
64,Jamie McGinn,LW,OTT,17.112,65,26,24,7,50,57,0.4,0.37,0.11,0.77,0.88
65,Todd Griffith,LW,KGN,20.633,55,31,14,12,45,57,0.56,0.25,0.22,0.82,1.04
66,Sean O'Connor,C,ER,18.623,68,19,19,18,38,56,0.28,0.28,0.26,0.56,0.82
67,Trevor Hendrikx,D,PBO,20.466,60,9,26,21,35,56,0.15,0.43,0.35,0.58,0.93
68,Jordan Foreman,C,LDN,18.692,68,29,15,11,44,55,0.43,0.22,0.16,0.65,0.81
69,Tomas Pospisil,RW,SAR,18.059,60,25,19,11,44,55,0.42,0.32,0.18,0.73,0.92
70,Scott Lehman,D,TOR,19.694,68,5,26,24,31,55,0.07,0.38,0.35,0.46,0.81
71,Vladimir Nikiforov,RW,BAR,17.942,68,19,21,15,40,55,0.28,0.31,0.22,0.59,0.81
72,Peder Skinner,C,KGN,19.182,44,21,24,10,45,55,0.48,0.55,0.23,1.02,1.25
73,Andrej Sekera,D,OS,19.272,51,21,15,19,36,55,0.41,0.29,0.37,0.71,1.08
74,Jordan Owens,LW,MISS,19.376,66,26,18,10,44,54,0.39,0.27,0.15,0.67,0.82
75,Michael Swift,C,MISS,18.475,65,22,23,9,45,54,0.34,0.35,0.14,0.69,0.83
76,Steve Downie,C,PBO/WSR,18.453,35,19,18,16,37,53,0.54,0.51,0.46,1.06,1.51
77,Chris Lawrence,RW,MISS/SSM,18.61,67,23,13,17,36,53,0.34,0.19,0.25,0.54,0.79
78,David Pszenyczny,D,BAR/MISS,20.573,58,15,16,22,31,53,0.26,0.28,0.38,0.53,0.91
79,Tom Pyatt,C,SAG,18.585,58,24,18,11,42,53,0.41,0.31,0.19,0.72,0.91
80,Craig Voakes,C,KIT,19.702,66,24,16,13,40,53,0.36,0.24,0.2,0.61,0.8
81,Peter Aston,D,PBO/WSR,19.557,65,16,18,18,34,52,0.25,0.28,0.28,0.52,0.8
82,Ryan Garlock,C,WSR,19.395,62,20,18,14,38,52,0.32,0.29,0.23,0.61,0.84
83,Richard Clune,LW,SAR,18.393,61,20,20,12,40,52,0.33,0.33,0.2,0.66,0.85
84,Patrick Kaleta,RW,PBO,19.272,68,16,23,12,39,51,0.24,0.34,0.18,0.57,0.75
85,Harrison Reed,C,SAR,17.66,68,26,13,11,39,50,0.38,0.19,0.16,0.57,0.74
86,Matt Auffrey,RW,KIT,19.699,59,24,13,13,37,50,0.41,0.22,0.22,0.63,0.85
87,Marc Staal,D,SBY,18.673,57,11,28,10,39,49,0.19,0.49,0.18,0.68,0.86
88,Dan Collins,RW,PLY,18.552,44,26,14,9,40,49,0.59,0.32,0.2,0.91,1.11
89,Tyler Doig,C,GUE,19.582,68,23,16,10,39,49,0.34,0.24,0.15,0.57,0.72
90,Andrew Hotham,D,ER,19.048,60,10,25,14,35,49,0.17,0.42,0.23,0.58,0.82
91,Travis Fuller,LW,BAR,19.639,68,22,22,4,44,48,0.32,0.32,0.06,0.65,0.71
92,Cody Thornton,RW,SSM,19.168,68,26,15,7,41,48,0.38,0.22,0.1,0.6,0.71
93,Derek Joslin,D,OTT,18.5,68,11,14,23,25,48,0.16,0.21,0.34,0.37,0.71
94,Jesse Gimblett,LW,SAG,20.696,66,21,14,12,35,47,0.32,0.21,0.18,0.53,0.71
95,Steve Ward,D,PLY,19.587,67,14,13,20,27,47,0.21,0.19,0.3,0.4,0.7
