,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,Wilkes-Barre/Scranton Penguins,932,503,54.859,2785,2331,454,51.458,28443,25313,3130,9.788,0.914,101.132
1,Hershey Bears,932,478,49.606,3005,2550,455,48.878,27589,27096,493,10.326,0.9,100.273
2,Toronto Marlies,932,466,57.516,2756,2477,279,51.84,28103,27102,1001,9.956,0.922,102.04
3,Chicago Wolves,932,459,53.361,2887,2553,334,50.582,28068,27783,285,9.62,0.912,100.833
4,Milwaukee Admirals,932,439,49.171,2583,2438,145,49.044,26648,26927,-279,9.096,0.91,100.095
5,Providence Bruins,932,435,54.632,2664,2451,213,52.172,29509,27412,2097,8.92,0.918,100.76
6,Grand Rapids Griffins,932,428,54.747,2801,2598,203,52.2,29693,27722,1971,9.206,0.916,100.852
7,Syracuse Crunch,932,415,52.688,2693,2679,14,52.069,28426,27967,459,9.525,0.908,100.314
8,Bridgeport Sound Tigers,932,386,48.978,2539,2744,-205,51.619,27605,28745,-1140,8.731,0.904,99.09
9,Rochester Americans,932,373,48.936,2591,2881,-290,48.376,26675,29746,-3071,9.368,0.908,100.182
10,Rockford IceHogs,852,372,48.313,2398,2457,-59,52.618,26995,25583,1412,8.022,0.905,98.477
11,San Antonio Rampage,932,370,46.187,2510,2771,-261,49.406,27955,28742,-787,8.294,0.906,98.927
12,Manchester Monarchs,704,353,56.075,2037,1776,261,52.83,21408,21261,147,9.406,0.916,101.084
13,Binghamton Senators,856,350,44.844,2492,2678,-186,47.75,26505,28533,-2028,8.769,0.9,98.77
14,Portland Pirates,780,345,50.181,2281,2258,23,49.846,23480,23799,-319,8.606,0.914,99.93
15,Texas Stars,692,328,49.565,2117,1976,141,49.896,21676,20986,690,9.78,0.903,100.048
16,Hamilton Bulldogs,704,317,47.308,1901,1859,42,49.08,20882,21029,-147,7.926,0.915,99.397
17,Hartford Wolf Pack,700,315,44.862,1956,1998,-42,48.252,20914,20616,298,8.699,0.901,98.778
18,Norfolk Admirals,704,308,47.438,2012,2000,12,50.351,22060,21318,742,7.853,0.914,99.24
19,Worcester Sharks,704,302,49.438,1937,2032,-95,53.234,22852,20296,2556,7.969,0.907,98.681
20,Manitoba Moose,628,288,51.168,1728,1681,47,49.019,17982,19046,-1064,9.148,0.916,100.726
21,Springfield Falcons,780,282,46.164,2051,2398,-347,48.844,21749,24244,-2495,8.619,0.904,99.017
22,Charlotte Checkers,612,281,52.158,1756,1751,5,51.523,18851,18729,122,9.657,0.907,100.301
23,Lake Erie Monsters,700,280,50.246,1844,1989,-145,51.186,20204,21229,-1025,8.379,0.913,99.702
24,Peoria Rivermen,552,232,47.731,1501,1552,-51,49.019,16537,16151,386,8.104,0.915,99.568
25,Albany Devils,536,231,51.368,1410,1460,-50,52.795,15794,14979,815,8.698,0.908,99.508
26,Houston Aeros,552,221,50.982,1445,1478,-33,49.132,15294,15945,-651,9.29,0.915,100.83
27,St. John's IceCaps,456,201,48.319,1280,1334,-54,47.978,13584,13934,-350,9.363,0.91,100.301
28,Oklahoma City Barons,384,184,51.194,1143,1071,72,49.798,11828,11708,120,9.221,0.912,100.416
29,Utica Comets,380,175,49.0,1018,1035,-17,49.95,11545,11162,383,8.606,0.911,99.714
30,Abbotsford Heat,388,160,49.755,975,1030,-55,49.759,11711,11241,470,8.683,0.913,99.964
31,Lehigh Valley Phantoms,304,144,52.482,911,887,24,48.506,9082,9745,-663,10.112,0.913,101.398
