,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP
0,Chris Bourque,LW,HFD/HER,29.878,221,77,78,51,155,206,626,11.355,0.325,0.358,0.225,0.675,0.898,2.852
1,Andy Miele,C,GR/LV,27.668,211,57,65,67,122,189,414,12.892,0.252,0.31,0.332,0.56,0.895,1.932
2,Kenny Agostino,LW,ADK/STK/CHI,23.627,197,62,69,52,131,183,477,13.275,0.328,0.385,0.305,0.715,1.02,2.455
3,T.J. Brennan,D,RFD/TOR/LV,26.702,218,58,63,59,121,180,593,10.03,0.27,0.28,0.268,0.552,0.82,2.742
4,Cole Schneider,LW,BNG/RCH,25.306,213,74,65,38,139,177,567,13.408,0.348,0.322,0.178,0.665,0.848,2.612
5,Travis Morin,C,TEX,31.934,198,58,69,45,127,172,456,13.08,0.292,0.352,0.2,0.643,0.845,2.245
6,Chris Mueller,C,HFD/SD/TUC,29.779,195,53,65,46,118,164,420,13.588,0.275,0.365,0.24,0.638,0.875,2.062
7,Chris Conner,LW,HER/LV,31.981,189,57,71,35,128,163,384,15.958,0.302,0.36,0.182,0.67,0.85,1.955
8,Brendan Leipsic,LW,TOR/MIL,21.577,188,52,61,46,113,159,469,11.395,0.31,0.332,0.272,0.638,0.91,2.66
9,Charles Hudon,C,HAM/STJ,21.481,198,74,41,44,115,159,507,15.132,0.408,0.185,0.23,0.592,0.828,2.665
10,Jason Akeson,RW,LV/RCH/BNG,25.536,187,56,57,43,113,156,525,11.51,0.32,0.318,0.22,0.638,0.855,2.772
11,Seth Griffith,RW,PRO/TOR,22.946,134,46,58,48,104,152,299,14.512,0.312,0.445,0.355,0.758,1.115,2.14
12,T.J. Hensick,C,HAM/UTI/CHA/ONT,30.015,207,44,65,43,109,152,472,9.672,0.218,0.32,0.208,0.538,0.745,2.245
13,Phil Varone,C,RCH/BNG,25.032,185,49,64,37,113,150,393,12.26,0.255,0.358,0.188,0.615,0.802,2.088
14,Tom Kostopoulos,RW,WBS,36.892,221,59,61,30,120,150,452,13.315,0.277,0.275,0.138,0.552,0.69,2.098
15,Yanni Gourde,LW,SYR,24.002,197,65,46,38,111,149,427,15.232,0.345,0.227,0.21,0.578,0.788,2.248
16,Andrew Agozzino,LW,LE/SA/CHI,24.95,186,60,49,38,109,147,518,11.76,0.3,0.278,0.198,0.577,0.772,2.61
17,Andrew Miller,RW,OKC/CHA/BAK,27.241,173,56,55,35,111,146,354,14.662,0.29,0.312,0.215,0.602,0.818,1.92
