,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,Kelowna Rockets,1152,668,55.385,4011,3103,908,52.269,36567,32367,4200,11.344,0.899,101.213
1,Medicine Hat Tigers,1152,623,52.248,4144,3503,641,54.397,38350,34221,4129,9.997,0.893,99.232
2,Brandon Wheat Kings,1152,607,52.271,4218,3668,550,48.016,37027,35685,1342,11.398,0.904,101.777
3,Calgary Hitmen,1152,600,46.946,3893,3339,554,50.379,36253,32289,3964,9.926,0.886,98.456
4,Tri-City Americans,1152,579,49.911,3740,3522,218,47.463,35335,36101,-766,10.82,0.902,101.05
5,Spokane Chiefs,1152,559,51.216,3769,3469,300,53.034,37063,33687,3376,10.381,0.888,99.113
6,Vancouver Giants,1152,542,44.284,3670,3569,101,47.567,36513,32676,3837,9.291,0.893,98.554
7,Moose Jaw Warriors,1152,521,55.641,3722,3826,-104,51.053,35933,37073,-1140,11.516,0.905,101.951
8,Everett Silvertips,1080,520,57.19,3000,2854,146,52.854,31064,32300,-1236,9.36,0.922,101.548
9,Red Deer Rebels,1152,515,48.138,3324,3390,-66,48.336,34886,35226,-340,9.69,0.902,99.89
10,Swift Current Broncos,1152,512,52.842,3464,3623,-159,48.542,34916,37115,-2199,10.67,0.91,101.639
11,Seattle Thunderbirds,1152,511,50.957,3420,3524,-104,50.08,35658,35783,-125,10.248,0.902,100.409
12,Saskatoon Blades,1152,509,44.346,3603,3913,-310,48.118,35228,37846,-2618,9.566,0.889,98.476
13,Kamloops Blazers,1152,508,49.779,3522,3696,-174,50.176,34814,36171,-1357,9.052,0.908,99.859
14,Kootenay Ice,936,493,50.636,2974,2622,352,49.658,28786,27335,1451,9.945,0.904,100.265
15,Regina Pats,1152,486,53.624,3571,3869,-298,53.76,35597,36743,-1146,9.838,0.902,99.974
16,Lethbridge Hurricanes,1152,461,49.431,3558,4049,-491,48.129,33779,37894,-4115,10.651,0.9,100.626
17,Prince Albert Raiders,1152,444,47.106,3386,3953,-567,49.507,35655,37166,-1511,9.716,0.896,99.202
18,Prince George Cougars,1152,413,46.958,3308,4186,-878,49.113,34488,38029,-3541,9.58,0.897,99.187
19,Portland Winterhawks,648,394,54.904,2615,1984,631,53.252,24235,21217,3018,9.706,0.908,100.504
20,Edmonton Oil Kings,792,335,42.146,2438,2562,-124,49.359,25589,23961,1628,9.099,0.878,96.886
21,Victoria Royals,504,250,53.402,1723,1607,116,47.989,15297,16128,-831,11.792,0.907,102.475
22,Portland Winter Hawks,504,167,35.967,1242,1817,-575,43.221,14131,16446,-2315,8.112,0.89,97.199
23,Chilliwack Bruins,360,119,45.386,953,1240,-287,45.052,9769,11701,-1932,10.138,0.901,100.157
24,Kootenay ICE,216,50,38.8,544,924,-380,44.988,6053,7826,-1773,9.045,0.884,97.485
