,Name,GP,ROW,GF%,GF,GA,GD,SF%,SF,SA,SD,Sh%,Sv%,PDO
0,Wilkes-Barre/Scranton Penguins,746,397,52.955,2200,1883,317,51.479,22643,20393,2250,9.504,0.91,100.409
1,Toronto Marlies,748,383,54.284,2253,1976,277,52.394,22276,22057,219,10.082,0.905,100.489
2,Hershey Bears,746,370,48.631,2302,2017,285,49.029,21246,21420,-174,9.84,0.9,99.86
3,Chicago Wolves,745,364,54.172,2224,2013,211,50.599,22144,22133,11,10.64,0.908,101.428
4,Grand Rapids Griffins,748,362,53.092,2289,2052,237,52.264,23919,22130,1789,8.934,0.912,100.115
5,Texas Stars,746,353,50.397,2283,2134,149,51.718,23400,22482,918,9.575,0.902,99.699
6,Providence Bruins,747,344,53.71,2089,1961,128,52.803,23501,22271,1230,9.424,0.908,100.239
7,Milwaukee Admirals,747,339,48.566,2052,1973,79,49.294,21616,21652,-36,8.878,0.909,99.776
8,Syracuse Crunch,745,334,55.043,2174,2156,18,51.372,22486,22113,373,10.343,0.911,101.432
9,Rockford IceHogs,748,329,48.016,2075,2167,-92,49.65,23856,22529,1327,8.001,0.914,99.353
10,Charlotte Checkers,669,316,52.774,1937,1909,28,51.847,20559,20295,264,9.864,0.904,100.226
11,Rochester Americans,747,314,50.899,2131,2251,-120,50.264,21769,23800,-2031,9.43,0.908,100.192
12,Bridgeport Sound Tigers,749,309,49.626,2043,2215,-172,50.554,22085,22711,-626,9.67,0.901,99.715
13,San Antonio Rampage,746,293,46.596,1999,2221,-222,49.419,22486,23028,-542,8.657,0.904,99.104
14,Binghamton Senators,616,269,44.854,1827,1883,-56,47.769,19057,20385,-1328,8.768,0.9,98.768
15,Manchester Monarchs,464,242,56.08,1360,1162,198,52.794,14209,13957,252,9.399,0.917,101.097
16,Portland Pirates,540,239,50.195,1583,1592,-9,49.838,16170,16810,-640,8.612,0.914,99.94
17,Albany Devils,536,231,51.368,1410,1460,-50,52.795,15794,14979,815,8.698,0.908,99.508
18,Lake Erie Monsters,540,227,50.264,1443,1507,-64,51.208,15893,16099,-206,8.384,0.913,99.702
19,Springfield Falcons,540,215,46.157,1488,1626,-138,48.836,15354,16395,-1041,8.624,0.904,99.015
20,Norfolk Admirals,464,207,47.454,1273,1219,54,50.406,14571,13514,1057,7.825,0.914,99.227
21,Hartford Wolf Pack,516,207,44.888,1387,1589,-202,48.018,14860,15700,-840,9.156,0.9,99.065
22,Hamilton Bulldogs,464,204,47.416,1202,1228,-26,49.192,13916,13763,153,7.924,0.915,99.399
23,Utica Comets,436,203,48.89,1198,1224,-26,48.88,13162,12927,235,9.593,0.905,100.072
24,St. John's IceCaps,456,201,48.319,1280,1334,-54,47.978,13584,13934,-350,9.363,0.91,100.301
25,Worcester Sharks,464,196,49.507,1260,1323,-63,53.259,15193,13490,1703,7.979,0.907,98.692
26,Oklahoma City Barons,384,184,51.194,1143,1071,72,49.798,11828,11708,120,9.221,0.912,100.416
27,Manitoba Moose,443,183,48.136,1172,1276,-104,47.154,12876,14109,-1233,8.904,0.914,100.3
28,Lehigh Valley Phantoms,359,168,51.601,1086,1057,29,48.063,10715,11541,-826,10.251,0.91,101.314
29,Abbotsford Heat,388,160,49.755,975,1030,-55,49.759,11711,11241,470,8.683,0.913,99.964
30,Iowa Wild,435,151,50.129,1083,1279,-196,48.487,12403,13797,-1394,9.593,0.911,100.706
31,Adirondack Phantoms,388,141,45.338,949,1142,-193,49.205,11417,11837,-420,7.866,0.909,98.746
32,San Diego Gulls,255,133,52.089,804,737,67,49.231,7808,8037,-229,10.352,0.908,101.194
33,Houston Aeros,312,132,50.966,837,815,22,49.312,8806,8880,-74,9.269,0.915,100.762
34,Ontario Reign,253,129,48.048,738,714,24,49.445,7944,7556,388,9.105,0.902,99.341
35,San Jose Barracuda,252,129,53.376,767,681,86,51.626,7853,7362,491,9.442,0.911,100.545
36,Peoria Rivermen,312,128,47.642,832,874,-42,48.968,9367,9666,-299,8.095,0.915,99.548
37,Bakersfield Condors,254,120,52.784,768,744,24,51.424,7745,7922,-177,9.45,0.908,100.22
38,Stockton Heat,255,113,48.602,788,813,-25,49.08,7893,7952,-59,10.311,0.896,99.904
39,Connecticut Whale,232,97,49.567,630,637,-7,48.287,6802,7074,-272,9.2,0.912,100.393
40,Tucson Roadrunners,185,91,50.178,548,555,-7,50.625,5508,5542,-34,9.57,0.903,99.848
41,Springfield Thunderbirds,208,82,49.132,585,616,-31,48.055,6000,6448,-448,9.638,0.908,100.415
42,Cleveland Monsters,207,75,45.878,534,635,-101,51.498,6307,6134,173,8.178,0.898,97.945
43,Belleville Senators,134,50,46.115,374,445,-71,46.19,3593,4216,-623,10.295,0.898,100.1
44,Binghamton Devils,133,46,44.225,347,438,-91,49.055,3725,3841,-116,9.09,0.891,98.22
45,Laval Rocket,132,45,45.24,352,437,-85,50.08,3718,3731,-13,9.22,0.891,98.335
46,Albany River Rats,80,39,51.5,240,226,14,49.26,2465,2539,-74,9.37,0.914,100.72
47,Lowell Devils,80,36,51.08,236,226,10,49.57,2506,2549,-43,9.31,0.915,100.84
48,Adirondack Flames,76,34,49.36,232,238,-6,50.37,2438,2402,36,9.11,0.906,99.69
49,Colorado Eagles,50,20,46.51,140,161,-21,48.08,1576,1702,-126,8.54,0.908,99.34
