,Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh,Sh%,G/GP,A1/GP,A2/GP,P1/GP,P/GP,Sh/GP,xG,xG/GP,eTOI,eTOI/GP,eG/60,eA1/60,eA2/60,eP1/60,eP/60,eSh/60,exG/60,QoT TOI,QoC TOI,QoT GF%,QoC GF%,GF%Rel,GF%,GF,GA,HD G,HD Sh,HD Sh%,MD G,MD Sh,MD Sh%,LD G,LD Sh,LD Sh%,FOW,FOT,FOW%
0,Angelo Miceli,C,VIC,19.794,200,109,89,56,198,254,690,16.185,0.555,0.488,0.288,1.045,1.33,3.45,33.698,0.512,1321.305,20.06,1.668,1.44,0.85,3.112,3.968,10.365,1.53,18.605,18.205,52.71,49.515,23.588,64.238,321,174,28,93,30.408,26,110,25.07,55,487,11.512,1817,3549,51.375
1,Louick Marcotte,LW,PEI/VDO/GAT,19.938,193,105,74,51,179,230,612,17.118,0.55,0.402,0.238,0.95,1.192,3.198,30.14,0.47,1253.68,19.555,1.685,1.212,0.725,2.898,3.62,9.822,1.415,19.728,18.242,55.47,51.035,14.62,62.245,331,185,30,95,29.195,33,136,27.372,42,381,11.025,315,743,40.25
2,Ivan Barbashev,C,MON,18.005,173,88,80,57,168,225,583,16.337,0.59,0.465,0.358,1.058,1.418,3.51,29.578,0.522,1186.885,20.873,1.652,1.34,1.022,2.995,4.018,10.13,1.478,19.728,18.172,57.645,48.22,20.225,65.425,307,166,21,104,21.595,17,108,20.148,50,371,14.13,1294,2643,49.342
3,Adam Erne,LW,QUE,18.657,176,90,75,55,165,220,673,13.788,0.552,0.415,0.335,0.968,1.302,3.98,28.195,0.48,1250.745,21.335,1.553,1.168,0.943,2.72,3.657,11.168,1.35,19.76,18.458,58.508,50.412,13.837,63.858,297,171,29,97,31.932,26,103,23.485,35,473,7.808,948,1730,55.18
4,Christopher Clapperton,LW,BLB/RIM,19.812,181,95,66,54,161,215,564,16.585,0.535,0.362,0.302,0.898,1.205,3.27,27.105,0.448,1175.327,19.435,1.655,1.12,0.935,2.778,3.713,10.102,1.382,19.04,18.27,60.9,50.065,13.22,66.13,287,146,26,89,27.562,22,93,25.282,47,382,12.198,72,144,39.775
5,Jonathan Drouin,C,HAL,17.97,95,70,79,64,149,213,389,18.565,0.735,0.835,0.675,1.57,2.245,4.115,25.085,0.53,1080.5,22.8,1.96,2.185,1.77,4.15,5.92,10.77,1.39,19.75,18.585,67.2,48.135,13.97,73.95,252,89,21,56,34.76,17,69,22.88,32,264,12.2,505,972,47.955
6,Anthony DeLuca,LW,RIM,18.843,202,101,72,36,173,209,808,12.76,0.538,0.385,0.188,0.923,1.11,4.178,32.832,0.488,1290.862,19.11,1.655,1.182,0.572,2.84,3.41,12.952,1.498,18.735,17.935,57.71,49.212,15.445,65.985,282,146,20,80,24.303,22,110,21.348,59,618,9.73,48,95,49.165
7,Anthony Mantha,RW,VDO,18.498,124,107,66,36,173,209,608,17.74,0.875,0.55,0.295,1.425,1.72,4.91,47.465,0.775,1396.115,22.645,2.3,1.425,0.77,3.73,4.5,13.06,2.045,20.67,18.325,58.875,50.74,15.64,65.15,273,145,40,102,38.66,23,103,22.95,44,403,10.93,131,318,41.085
8,Nikolaj Ehlers,LW,HAL,18.086,114,86,73,46,159,205,535,15.995,0.755,0.66,0.405,1.41,1.815,4.71,34.355,0.615,1310.095,23.17,1.965,1.68,1.05,3.645,4.695,12.235,1.575,19.62,18.52,60.515,49.145,32.455,73.055,263,97,20,64,32.105,19,99,19.665,47,372,12.55,66,170,30.985
9,Danick Martel,C,BLB,19.01,195,99,66,38,165,203,678,14.968,0.572,0.395,0.218,0.968,1.182,3.69,30.118,0.468,1304.585,20.22,1.64,1.128,0.628,2.768,3.4,10.9,1.352,19.088,18.385,60.288,51.275,11.603,63.16,254,155,24,80,29.542,20,119,16.093,55,479,12.232,1094,2426,45.015
10,Conor Garland,RW,MON,17.764,144,65,90,45,155,200,485,13.435,0.435,0.645,0.31,1.08,1.392,3.26,25.018,0.428,1093.345,19.62,1.305,1.92,0.885,3.225,4.108,9.732,1.272,19.14,17.7,56.213,46.96,18.625,65.17,253,130,10,54,12.82,25,117,21.18,30,314,9.875,34,76,39.89
11,Nikita Jevpalovs,LW,BLB,19.268,185,95,56,42,151,193,499,19.538,0.575,0.33,0.265,0.898,1.165,2.84,24.73,0.397,1172.908,18.748,1.772,1.042,0.8,2.812,3.612,9.05,1.252,19.63,18.27,61.382,49.332,24.245,73.458,261,97,26,58,45.238,22,78,28.548,47,363,13.152,637,1192,52.598
12,Alexis Loiseau,C,RIM,19.928,198,67,75,49,142,191,434,15.77,0.378,0.412,0.267,0.795,1.062,2.327,20.115,0.3,1243.815,18.6,1.19,1.275,0.832,2.462,3.295,7.445,0.943,18.655,18.167,58.342,50.72,5.46,58.972,271,180,17,74,22.355,15,66,22.232,35,294,12.44,1936,3648,52.795
13,Luca Ciampini,LW,HAL/BAC,19.774,198,73,57,59,130,189,518,14.295,0.397,0.285,0.315,0.68,0.995,2.73,23.415,0.352,1141.582,17.118,1.37,1.02,1.098,2.392,3.485,9.565,1.25,19.138,18.022,58.485,48.288,19.632,69.185,263,113,24,101,25.242,24,95,27.935,25,322,7.782,23,62,27.032
14,Laurent Dauphin,C,CHI,18.726,170,80,65,41,145,186,737,10.83,0.49,0.395,0.275,0.885,1.16,4.622,29.895,0.535,1233.852,21.92,1.345,1.085,0.73,2.43,3.155,12.528,1.455,18.9,18.447,49.195,51.67,20.553,58.575,246,172,30,98,29.445,17,104,16.31,33,535,6.302,1501,2893,52.102
15,Maxime St-Cyr,C,ROU/BAC,19.834,202,112,43,30,155,185,642,17.675,0.61,0.212,0.172,0.825,0.998,3.48,36.415,0.538,1306.192,19.33,1.862,0.675,0.508,2.535,3.04,10.587,1.625,18.09,18.065,54.06,49.638,12.132,58.655,271,189,31,101,31.992,29,127,22.805,52,414,12.738,2173,4058,53.29
16,Christophe Lalonde,RW,MON/SHA,19.925,177,103,46,35,149,184,581,18.542,0.615,0.308,0.24,0.928,1.168,3.31,26.902,0.48,1137.432,20.182,1.83,0.882,0.698,2.712,3.412,9.958,1.408,18.512,17.998,56.817,49.765,10.328,59.338,254,186,20,77,27.958,34,101,36.293,49,403,12.785,331,807,42.892
17,Valentin Zykov,RW,BAC/GAT,18.589,162,84,52,48,136,184,551,15.43,0.508,0.338,0.282,0.845,1.128,3.29,25.155,0.483,924.378,18.165,1.678,1.108,0.935,2.785,3.72,10.872,1.598,19.083,18.212,59.31,48.51,23.705,73.068,256,84,30,117,25.072,21,104,19.758,33,330,10.78,46,85,40.685
