,Stat 1,Stat 2,Stat 3,Stat 4,Cluster,Slope,R-Squared
976,G,A1,HD G,FOW%,0,-0.497,0.581
977,G,A1,HD G,FOW%,1,-0.497,0.581
978,G,A1,HD G,FOW%,2,-0.497,0.581
979,G,A1,HD G,FOW%,3,-0.497,0.581
1016,G,A1,HD Sh,FOW%,0,-0.497,0.581
1017,G,A1,HD Sh,FOW%,1,-0.497,0.581
1018,G,A1,HD Sh,FOW%,2,-0.497,0.581
1019,G,A1,HD Sh,FOW%,3,-0.497,0.581
1084,G,A1,MD G,FOW%,0,-0.497,0.581
1085,G,A1,MD G,FOW%,1,-0.497,0.581
1086,G,A1,MD G,FOW%,2,-0.497,0.581
1087,G,A1,MD G,FOW%,3,-0.497,0.581
1112,G,A1,MD Sh,FOW%,0,-0.497,0.581
1113,G,A1,MD Sh,FOW%,1,-0.497,0.581
1114,G,A1,MD Sh,FOW%,2,-0.497,0.581
1115,G,A1,MD Sh,FOW%,3,-0.497,0.581
1156,G,A1,LD G,FOW%,0,-0.497,0.581
1157,G,A1,LD G,FOW%,1,-0.497,0.581
1158,G,A1,LD G,FOW%,2,-0.497,0.581
1159,G,A1,LD G,FOW%,3,-0.497,0.581
1172,G,A1,LD Sh,FOW%,0,-0.497,0.581
1173,G,A1,LD Sh,FOW%,1,-0.497,0.581
1174,G,A1,LD Sh,FOW%,2,-0.497,0.581
1175,G,A1,LD Sh,FOW%,3,-0.497,0.581
448,G,A1,G/GP,P1/GP,0,-0.407,0.563
449,G,A1,G/GP,P1/GP,1,-0.407,0.563
450,G,A1,G/GP,P1/GP,2,-0.407,0.563
451,G,A1,G/GP,P1/GP,3,-0.407,0.563
200,G,A1,P,A1/GP,0,-0.425,0.546
201,G,A1,P,A1/GP,1,-0.425,0.546
202,G,A1,P,A1/GP,2,-0.425,0.546
203,G,A1,P,A1/GP,3,-0.425,0.546
204,G,A1,P,A2/GP,0,-0.425,0.546
205,G,A1,P,A2/GP,1,-0.425,0.546
206,G,A1,P,A2/GP,2,-0.425,0.546
207,G,A1,P,A2/GP,3,-0.425,0.546
440,G,A1,G/GP,A1/GP,0,-0.413,0.542
441,G,A1,G/GP,A1/GP,1,-0.413,0.542
442,G,A1,G/GP,A1/GP,2,-0.413,0.542
443,G,A1,G/GP,A1/GP,3,-0.413,0.542
